Accession,MSC-exo-1,MSC-1
P02452,194.046611,21.68408996
Q99715,147.1039936,31.20866633
P02751,109.8522261,39.08871003
P02768,373.4512686,7.673799585
P98160,140.1108656,32.10964861
A0A087WTA8,210.7261011,22.85321386
P01023,200.5741753,13.08638022
P02461,193.5987362,25.45121828
P02787,342.3868009,14.25619957
P12111,127.3098208,59.93422669
P01024,219.1472298,16.56078276
P11047,115.3096206,30.2453818
P07942,112.3812604,29.63174394
P04264,127.1535173,46.33200716
O00468,148.3726528,26.25254456
P05023,126.7897213,58.65364647
P00738,324.6226942,12.09983544
P24043,145.6019241,24.03474951
Q14112,119.45,22.85321386
Q6UVK1,128.8345889,49.69166667
Q8WUM4,153.7965332,51.27430408
P35908,114.4977852,50.81728087
P07996,149.6637627,32.3892188
P04114,229.3740359,27.11107113
P01871,243.8274414,12.09983544
P35555,172.6423026,30.46839345
P26038,187.939219,63.71576085
P05556,121.1046005,52.97030877
P05997,189.3771192,27.36005056
Q16363,91.73349164,18.90237167
P80723,155.7333248,45.08626017
P27487,144.693491,36.84939245
P35442,176.8458585,23.45116774
P23634,121.3996872,53.1258574
P13611,205.9681075,15.42516783
Q13219,94.29685049,19.92525059
Q08380,70.26893046,13.64669354
P08253,200.0022948,12.68980296
P13645,123.5656003,52.32444986
O15230,155.7333248,31.79032393
P06756,153.288957,45.78333333
P12109,171.3072474,34.69056674
P35527,133.8803831,39.66820543
Q92626,113.8111899,37.51625901
Q13308,178.2575718,48.05373327
P15311,180.7081166,69.20270313
Q8WUJ3,137.2880623,48.63143678
P21589,134.0402341,43.43146146
P20908,185.5739817,29.19126471
P00739,263.2817597,28.01127534
P14543,100.7092384,29.19126471
O43854,96.43192739,21.50273546
P01857,339.4815607,13.34365599
P17301,157.1821579,49.01285068
P02675,213.8425767,22.02236634
P02647,319.2269295,10.68830328
A0A0A0MT26,171.7169857,51.16149958
P35241,177.7276718,71.34135961
P15144,187.1475305,43.91490246
J3QSU6,99.58509882,33.46051529
Q13740,140.8530046,55.11666667
F5GZS6,118.7961848,49.82262112
E7ESP4,156.1759878,49.2215291
P19823,213.0265273,11.79939808
P08603,283.9782131,18.23948798
Q9NZI8,157.3883858,75.40787035
P00450,307.1666324,16.1818554
C9JZR2,169.2149575,62.04915522
Q9Y6C2,116.5142047,25.32898847
P13647,129.8301477,60.71666667
P25391,106.0152798,22.85321386
Q15582,137.563819,32.0434331
P23142,159.8458952,28.94459642
P01876,334.444615,12.68980296
A0A286YEY4,357.9251122,10.02593474
P02774,255.012217,11.07523444
P05534,110.9579107,44.23250338
D6RF35,302.4879967,22.46296145
P10316,236.8008175,109.6133526
O43491,198.1977853,63.18352434
Q08431,129.7088703,17.80215301
A0A140TA44,194.2429452,29.5180915
P35613,151.4054048,45.52112847
A0A140TA32,213.2393004,29.42247828
P16190,64.246645,12.26883698
Q8IWU6,192.4932155,40.92333709
A0A024R571,133.019738,55.51683396
P19827,218.3323039,20.34107187
Q02818,146.4632046,68.79867903
E7EQG2,116.8866259,56.60831835
A0A286YES1,321.7829482,10.02593474
P09486,212.7301065,39.01182505
P09871,195.2023579,20.0920156
P26022,134.5162518,21.32983183
P08473,204.6309529,58.26846694
B1AHL2,208.7177943,21.50273546
O15031,157.7420236,49.61178707
O14672,132.0474323,47.13644586
A0A0G2JMB2,308.4138126,11.98749459
P29966,180.3310477,76.64221541
P29317,119.981049,43.59976615
P10909,193.41024,9.339371833
P05121,130.0411983,37.86222992
P04899,147.4022095,54.73070919
P05362,90.58235528,36.72152921
P02533,143.1505631,62.91765736
P01834,297.2413228,14.40292966
P00747,225.1734488,17.68451439
P61224,143.6809877,47.96037599
Q9Y4K0,106.8324705,37.86222992
P12110,151.5774643,44.48827097
P02679,233.3518159,13.99072741
D6RGZ6,203.782056,6.576352541
P04003,256.0215523,18.23948798
P00533,163.5808425,54.35196152
P27105,137.563819,34.82854474
P62888,157.5931438,65.7920303
P02671,229.8571775,17.53448237
Q9P2B2,130.7300368,22.31465549
B4DPQ0,202.1172751,14.99233852
Q16270,158.8454121,32.75481873
A0A286YFJ8,305.7078159,23.74705212
P62979,152.2620616,56.01389824
P31946,189.8339222,83.13328877
A0A024R6I7,346.0534724,10.88282278
O60462,152.70866,46.80734782
P33527,96.56666667,48.11736585
P01008,230.9330343,16.76219129
Q29963,101.9791967,42.3091379
Q15113,190.5095454,29.79082032
Q12841,186.4283168,34.04988167
P0DOY2,280.6077198,11.38006544
P08754,155.6176914,51.21479792
P08779,156.4254955,45.99201166
A0A0B4J231,274.0519903,15.29199682
P05106,206.2716166,30.46839345
P20591,133.3594919,44.33119805
Q9UBI6,137.9287393,52.55402771
Q04721,156.4254955,47.70069177
P35556,168.7297193,27.11107113
P26006,124.490854,35.43544469
P02649,190.7592449,21.50273546
Q13443,132.2644062,50.89363445
P02790,366.1190649,17.34382922
P17948,118.3640035,28.27759452
Q14126,165.750432,42.59651436
P50148,121.7878954,54.11235178
P39060,114.1229068,20.14033246
P62834,133.8803831,51.99457276
Q9UKX5,140.4265858,47.56623645
A1L4H1,109.4048298,23.15865076
B1ALD9,107.4948015,32.49900429
P13612,158.5928053,34.46423821
P12107,183.683506,43.59976615
P07093,117.9054534,34.73606309
P04004,196.0898347,31.79032393
O43866,240.2543233,17.98033226
P35052,169.6787945,34.18737048
P09619,179.5604877,38.62830393
P10301,138.5983243,48.59984827
O00622,120.3727961,53.213289
Q96E39,104.0001148,49.69166667
P56199,117.0111974,39.94878818
Q5JWF2,122.5779217,46.48420522
H0YD13,141.4342274,60.57946323
P63096,165.1164441,44.54517293
P00734,191.4831442,21.25282203
Q9H5V8,162.6705765,37.60362902
P08572,118.0318053,50.40064148
P62873,116.7095406,54.80149403
P00751,285.0082356,17.04707325
P62070,134.5162518,50.89363445
O75882,243.4783329,26.41839933
Q9P265,141.9295404,47.47742111
Q9Y263,196.7370911,77.2357899
P48059,151.7638708,70.40720689
P06727,197.9398302,24.44318156
Q92743,64.50121776,28.41806874
P55290,169.6787945,33.25728308
Q9Y4F1,166.8542267,42.81666723
A0M8Q6,304.3388745,15.16030474
P11233,152.1466693,53.44708842
P29992,125.0843571,49.5619962
O00391,109.6042352,41.5926989
C9JXA5,119.8420448,57.00723221
P01042,273.1876129,16.56078276
P01893,105.538499,42.76666667
P10915,73.89338744,15.81384177
Q9HAV0,149.070853,68.56496617
O00161,136.0477627,59.28283051
A0A1P0AYU5,135.8530232,60.0343005
Q5JWQ6,165.6163405,42.16062257
Q15758,187.5213726,35.86144563
A0A087WXM8,116.7095406,45.52112847
O14936,163.1006195,46.13753882
P14923,126.3621517,44.72149552
O75695,142.3106784,48.4453002
Q03518,143.5348913,50.03378924
P21810,165.5143107,24.44318156
E9PGN7,314.3209748,9.80738496
F5H157,131.1987878,57.7184575
P08476,128.7283477,40.48120954
P17302,113.3509207,49.37981242
P35354,99.9485012,47.37030356
Q9Y639,129.7088703,55.03333333
Q10472,134.2759765,55.03333333
Q8TB61,163.9407793,44.77161877
P81605,173.7158207,36.23540485
A0A0D9SEN1,141.7352626,42.59651436
Q03405,144.4857465,44.83216584
P30483,91.53133129,34.29725872
F5H442,117.1282261,56.60831835
Q9H4B7,190.2423216,33.08925191
Q969P0,149.2854578,20.34107187
Q9ULI3,123.9876126,39.01182505
P01111,126.7897213,49.82262112
P02743,221.14235,9.490670722
P08514,226.6696436,20.95759866
P10319,172.3463861,82.19120961
Q96N66,176.6685184,60.77836788
P01031,213.5005982,26.55730442
Q6YHK3,181.9813913,41.10198883
B0QYK0,244.3235702,50.71896278
Q14517,130.2080376,41.00010751
Q9NZN3,176.5278746,42.39207593
P61225,139.7680724,49.49762253
P07585,211.9546685,25.32898847
H3BN98,171.3072474,73.25503266
P54289,162.0132289,39.26118728
P11234,153.1070086,59.68230001
H7BY82,182.6068118,41.3024351
H3BMU1,125.8820326,58.69969939
O75326,159.8458952,64.89420626
Q9BZQ8,167.0128775,80.76932646
P17813,143.2394767,59.13010655
P04222,143.0667463,66.07468215
O95980,143.5348913,32.75481873
P05109,344.3440979,28.116944
Q9H444,164.4160889,67.1524566
P01033,225.9070266,24.87064893
P01591,247.2471746,27.93372853
Q92692,119.8420448,51.44382018
P36955,168.5748407,17.98033226
Q96KP1,195.6643224,73.9
G3XAJ6,152.536051,37.69268426
A0A0A0MT20,184.7354572,33.86932468
Q7L7X3,148.3071695,58.45
P05546,144.9595238,20.6413749
P09972,183.683506,63.95833333
Q9Y2U8,150.3865941,67.80588775
Q8NBJ4,143.8475635,58.12489362
Q13190,184.3352408,66.81666667
P17066,206.6001945,58.80773355
P13497,109.6042352,36.15930711
Q14344,139.6428095,48.84219589
Q16610,210.3048818,30.84086149
P19022,180.0879911,45.00333001
P16035,176.6685184,21.25282203
Q9H4G4,159.138194,45.52112847
Q9P273,134.2759765,46.66497278
O60271,190.2423216,87.43250278
P25311,312.6570227,21.06652487
H9KV31,195.2023579,42.20397601
E9PNQ8,167.9399945,43.28695451
P51153,150.9038819,64.53301085
P21926,165.3359115,24.44318156
P15529,125.3909084,41.43470132
Q9UI42,124.2749469,50.24166667
P02765,181.5224525,5.086452516
Q86UX7,209.4858376,19.35351138
A0A087WUX8,123.9876126,60.34205764
E9PRJ8,166.548995,24.72007749
O14908,149.5496013,63.481233
P02760,215.050865,13.08638022
P02763,426.5776135,5.086452516
P10586,131.6800474,58.45
Q15043,156.2790907,39.37042005
P12931,169.9525574,51.61457562
A2A2V1,122.9409457,54.76464113
Q96S52,127.1535173,62.65906999
Q9UKS6,111.9947207,54.49486717
A0A0C4DG84,126.9980596,49.82262112
P16234,130.9809479,53.44708842
P98066,136.9436372,20.86079099
P14324,192.1963056,94.33614059
E7EN19,136.1824714,67.50782106
Q9NUP9,161.5654323,56.22387403
O00186,137.9287393,53.82439422
Q14766,157.8183329,34.55798229
Q99959,155.8407534,51.77257099
Q14393,154.2932702,50.71896278
Q16134,153.4409008,61.55
Q92665,162.4015711,65.30121486
Q9Y3L5,132.5151158,50.57786605
Q5ZPR3,178.4537147,55.84987483
P43652,348.8893155,14.56042462
P30837,149.2854578,72.81347056
Q99848,175.1441162,70.35625546
P01034,194.811869,47.81443062
P19883,107.2490119,30.61666667
P20851,265.2647246,13.34365599
B7ZKJ8,121.7045227,32.49900429
A0A2Q2TTZ9,261.498413,19.09001009
Q9P2R3,186.7678162,59.33269547
A0A087WTF6,161.8835166,42.93224645
H0YLF3,170.0734116,41.88689142
O94813,252.1340084,32.2108223
E9PQR7,139.2076476,62.00477673
P55287,141.0678214,43.13876098
Q07092,107.4948015,48.34655906
Q9BRK3,120.1310077,56.60831835
Q99653,153.4409008,61.64122851
P53985,120.8005608,49.9289729
Q14118,125.6971103,59.93422669
Q56VL3,135.2486584,57.19810601
Q16832,119.1442235,57.34140505
Q9NZW5,156.0558443,61.26666667
Q99436,149.070853,70.20855587
H7BY55,147.971998,42.3091379
P24593,188.3977283,36.46141871
P02749,245.2850696,17.18617147
P18754,218.9116391,58.12489362
A0A0D9SEM4,156.9399339,75.52590167
Q15262,137.3779149,56.13464225
Q5JSH3,162.7969149,78.79079229
P02654,214.5540723,11.98749459
Q9UEU0,166.2555386,54.87883953
H0YCK7,144.693491,71.93794401
C9JBG0,130.8264605,64.81725691
Q08722,140.2903711,50.71896278
Q8IWA5,148.4818109,31.45445934
P04196,293.0537983,18.51054016
Q9UIW2,161.5654323,42.09734437
P49006,148.6374014,63.095283
Q9H2K8,137.9287393,56.01389824
O94985,160.5936471,27.70085349
O75508,154.780265,53.62133167
P18084,160.4461935,48.96616456
P78357,145.9240266,59.72164304
A0A2U3TZL5,157.910542,38.62830393
Q96J84,136.5552659,58.80773355
O75636,187.3468792,31.525
P03952,222.1415859,20.54130417
P68871,177.0706238,37.77164674
V9GYM3,316.1514835,15.57736267
O94760,198.6811297,75.28246109
P31146,174.7225472,62.29688349
Q8TAA9,122.7670567,60.41666667
P31431,177.233287,25.56923338
O95833,162.7969149,65.7920303
G5EA09,135.0112066,26.16410033
Q01650,127.4485268,54.11235178
Q13393,184.9671752,46.48420522
Q9NRY6,154.1137455,38.87841136
P00167,169.6787945,61.7018725
P04217,397.4385346,7.967364327
Q7Z417,185.5739817,74.56157142
O43657,123.7506064,44.33119805
Q9C0H2,126.0696524,39.77272422
A0A0A0MSA9,154.0058474,43.81620315
P11279,115.8165308,53.29615071
G3V599,148.1108542,50.89363445
J3KMX3,45.74716341,6.256827097
P11169,168.5748407,48.84219589
O75569,130.7300368,63.28333333
O95865,172.538947,82.27123487
P01780,267.905196,12.68980296
J3KPS0,117.0111974,56.90276365
Q10588,121.7878954,25.23011641
P01116,178.1383101,47.13644586
Q15334,153.8729904,66.46578698
O95168,148.777911,62.04915522
P49747,84.93591881,19.5018799
P07919,147.254256,57.81949406
Q9NPL8,138.2026817,64.89420626
Q9UKU9,51.49910345,21.86362302
P48509,125.2289296,45.13018321
O14879,141.9295404,61.31307608
M0R1T5,150.524614,70.08445308
Q9HCU0,189.3771192,45.08626017
P06702,378.6204489,20.86079099
Q8N4A0,161.3092913,71.70817775
P84243,152.70866,58.05620793
P98155,116.190045,57.60556652
P08519,195.2023579,36.46141871
J3KNF8,151.945393,56.46567574
P58397,124.9031788,41.98567535
P51884,271.6138368,22.02236634
Q12805,105.2227989,40.21525051
Q14767,160.250047,31.79032393
Q7Z3B1,106.2508789,46.98978468
Q96S97,125.968638,62.00477673
E7ES96,132.1780571,58.61648131
Q8N3D4,162.9846396,74.8
Q8N4C8,129.6034775,58.52616539
Q8N5C1,150.8015314,46.13753882
B4DNG0,159.2907273,33.5968546
C9JG97,191.3610394,88.48333333
P00390,207.1879384,58.95199456
Q9BRZ2,151.3031421,60.14920564
A0A1W2PPT5,184.0118229,78.13733572
Q7KYR7,160.1026935,49.69166667
Q9Y287,182.3917751,52.97030877
Q14644,152.70866,52.83337235
Q08629,192.7588516,25.82055174
P98095,152.8798989,35.16309083
O15484,138.8752858,47.37030356
Q8N8U9,102.4324822,40.6033745
Q9BX67,116.7095406,52.68567737
A0A0G2JJD3,178.2575718,67.80588775
P30825,130.2080376,57.92428505
