Accession,MSC-exo-3,MSC-3
P02452,116.681305,19.41784216
Q99715,105.8416479,31.75097228
P02768,45.08340042,6.89578586
P98160,209.0567134,53.52610916
A0A087WTA8,136.7749899,21.98897936
P01023,140.4658567,13.49459979
P02461,133.804023,32.10964861
P02787,55.36495323,12.30778777
P12111,118.9342782,54.49486717
P01024,63.03720798,15.11101353
P11047,95.26655556,20.61397424
P07942,101.0029933,20.41693247
P04264,263.0021836,47.22508133
O00468,177.1794545,25.32898847
P00738,26.10358255,10.61796149
P24043,106.9909524,22.12291258
Q14112,134.2657731,26.49117949
Q6UVK1,179.7813757,68.99639023
Q8WUM4,156.8180091,33.97767641
P35908,254.281706,56.91583815
P07996,202.0616735,28.56761064
P04114,60.52315304,29.5180915
P01871,21.7901512,10.29261766
P35555,162.7379903,31.45445934
P26038,183.287675,38.24166667
P68366,189.3486189,71.53202811
P05997,121.0136406,27.64855072
Q16363,60.30893886,16.365676
P07951,121.0136406,56.18845473
P80723,174.969979,78.85346078
P27487,230.1714566,60.61118099
P35442,88.99282813,21.25282203
P13611,83.66592403,15.29199682
Q13219,85.78978577,20.7782142
H3BR70,105.05,50.34151621
Q08380,111.0078229,13.88112438
P08253,111.5512091,12.30778777
P13645,248.1867866,49.2215291
O15230,179.1516268,32.85818684
P06756,135.2830055,65.15899175
P12109,144.7170844,34.2606842
P35527,266.2223698,47.47742111
Q92626,94.20479012,35.96356447
Q13308,167.4501822,45.33715375
P15311,185.1861971,42.64981727
P21589,230.7038095,63.343537
P20908,127.6191053,28.69535859
P06733,93.23912111,42.46789099
E9PK25,119.6819824,52.9544889
P14543,80.35847411,26.49117949
O43854,162.7379903,22.12291258
O75083,119.7695435,47.92472112
P60174,112.883352,48.21087606
P17301,168.2255785,64.11388127
P63104,141.5776626,56.0971885
P02675,42.75215633,19.23803879
A0A0A0MT26,164.143,54.49486717
P62258,157.8813727,46.99605641
P35241,178.4480489,60.33653456
P00558,106.8299414,52.13333333
Q14195,114.0696085,52.68567737
P15144,143.1117547,43.45781789
J3QSU6,158.2350245,48.21087606
A0A0A0MSQ0,115.7049248,56.363829
E7ESP4,141.3095864,70.28356433
P19823,183.6355489,13.88112438
P08603,61.55312114,15.70252054
P00450,45.08340042,14.86520484
P54652,97.70820987,43.81620315
P55268,89.09147701,42.93224645
Q9Y6C2,91.98333333,42.19050869
P13647,239.6318516,49.59234568
P25391,71.53115751,25.23011641
Q15582,75.52680639,27.11107113
P23142,136.1274143,43.19591291
P02774,166.2349536,13.34365599
P10316,74.99690144,31.63606678
O43491,136.1274143,52.13333333
Q08431,238.3589809,19.97387902
P00352,80.59063272,38.91581308
A0A140TA32,127.5246677,25.77000094
P16190,39.07221369,12.07622234
A0A024R571,218.8417907,39.79762601
P50395,144.9589264,47.47742111
P18669,143.6917284,42.19050869
P19827,74.85696436,20.7782142
E7EQG2,223.9679312,42.57379485
P09486,158.2350245,25.14122806
P09871,133.1536645,15.81384177
P26022,292.7152564,27.73806981
P08473,117.4638738,44.51868891
E7EUC7,87.28766312,42.57379485
E9PLK3,103.0990301,50.1032073
H0YJ34,128.1084608,62.45134537
O00299,165.2486916,35.26861029
B1AHL2,53.28317222,17.53448237
O15031,185.4279697,62.83036491
P29966,172.6346288,45.83935106
P29317,194.4333184,73.784387
P10909,80.19733985,8.89036399
Q9Y696,180.373854,41.78402122
P05121,236.1893626,45.4820803
P05362,203.7897333,98.86792165
P02533,216.7932686,53.52610916
P23526,162.9178975,53.213289
P00747,153.7141271,18.75714702
Q9Y4K0,233.3481659,48.34655906
Q04917,151.764206,56.63645873
P12110,129.2097572,47.22508133
P02538,220.390824,39.29582002
P61981,138.1280726,60.98161798
P36871,136.6796617,39.39930576
P30041,117.9915339,51.2370623
P09936,108.6822171,53.80833333
D6RGZ6,95.54564778,5.978360196
P27105,232.4172213,79.35
P02671,44.36882655,13.1282038
P09543,170.9610416,82.89675953
P06396,119.45,47.10731369
Q9P2B2,239.6318516,24.14977029
B4DPQ0,134.3450146,16.68425733
P60900,85.23268218,35.59956524
P31150,131.156407,61.45205613
Q16270,213.1238059,39.65119748
Q7L576,154.49329,74.46686042
P62979,155.2593076,73.2341245
P31946,129.0775791,41.10198883
A0A024R6I7,23.80624271,7.873614919
Q99497,105.6445869,46.57840892
P01008,187.6254025,14.56042462
Q15113,125.3900764,22.46296145
Q12841,191.066863,26.73648575
P25786,92.13963633,43.91490246
P08779,223.4486112,29.80869449
A0A0B4J231,34.24592465,14.56042462
P05106,127.3167485,35.02664277
Q04721,161.5257562,64.56918508
P35556,152.7430378,27.11107113
P26006,215.2240381,64.56918508
P02649,53.51720143,19.78559639
Q96TA1,142.3937819,57.7184575
P17948,235.7112932,39.56015123
Q14126,190.3758409,51.14170667
P50148,184.976425,74.86073733
P39060,55.77815963,20.7782142
A1L4H1,63.50949281,18.75714702
B1ALD9,70.9,30.34115212
H0Y7A7,142.1594557,64.34999893
P13612,229.6725309,40.63465458
E9PK47,106.9909524,49.09474038
Q9H223,224.9834702,48.04742898
P12107,101.7525777,47.22508133
Q8IVL6,194.1132583,60.13083216
P07093,94.74668597,28.80447446
Q04695,186.9898429,37.63857128
P35052,192.1349621,47.37030356
P09619,179.5775182,58.15313452
O75874,113.8432072,46.47521592
P56199,220.7548079,71.16465832
H0YD13,183.0990847,80.14205141
P63096,172.3432394,64.84551482
P27348,150.2068144,46.01347802
P61160,128.9826378,60.50508743
P07686,132.2347619,58.93081327
P08237,128.4669796,56.363829
P00734,214.7437825,24.75732717
Q9Y281,158.7079165,42.39207593
P04181,139.2986606,47.92472112
Q9H5V8,184.746563,59.28283051
Q6WCQ1,204.3551123,64.96362908
Q99714,115.3515011,51.7356696
P29144,129.8799319,51.5136115
P62070,165.8364764,82.58333333
O75882,96.68348601,29.68325522
Q9P265,181.6788929,43.37043172
P23381,104.6263243,50.69612578
P48059,136.4902461,48.48857767
Q9UNF0,149.7338937,63.71367369
Q92743,177.5553685,28.38423058
P55290,231.8052062,48.765384
Q9Y4F1,216.1835967,48.83353713
O00391,137.602935,42.74044643
B4DLR8,143.51637,61.45205613
C9JXA5,193.7678367,87.70833333
Q9NZN4,152.6010286,54.97982491
J3KR44,108.6822171,52.68567737
F6RFD5,135.0474124,54.27425808
P50552,134.3450146,60.89226367
P01893,114.3368316,41.10198883
P10915,189.8801461,15.51490101
O75347,130.1053955,41.63622847
B8ZWD1,102.7112549,48.11736585
Q5JWQ6,198.0832345,63.82090406
Q15758,203.2958716,37.25609356
O75368,121.230304,60.13083216
O14936,196.2268037,51.5136115
P14923,226.3675133,63.17613159
Q9UNZ2,139.2986606,61.16269944
Q15404,135.7997309,62.45134537
O75695,187.115585,76.44302866
P30520,126.6576581,56.18845473
P21810,65.45177625,22.78110355
O95336,171.1310054,60.89226367
P49189,118.9342782,52.83337235
P15121,150.7266951,53.33162894
P08476,133.9881075,45.64171342
Q6P9B6,173.4426726,71.61858274
P81605,203.2958716,31.525
A0A0D9SEN1,175.7908976,86.32065205
Q03405,145.5867152,63.82090406
F5H442,167.8147802,49.82262112
Q9H4B7,152.6010286,33.39131712
Q969P0,288.2550748,23.09179327
Q9ULI3,231.2650054,57.48285263
P01111,190.2220214,80.7722945
Q9UKY7,106.5300157,48.60148926
Q02952,157.4905603,75.96545422
P48637,101.0029933,39.39930576
P08514,104.9233986,21.68408996
P10319,133.1536645,63.01676574
P30086,125.0084157,50.60579489
H0Y9Y3,151.1460802,69.76934987
P22307,115.4479028,53.80833333
P01031,82.42436368,25.56923338
Q08209,187.2985353,65.55743429
Q96CV9,166.3106531,77.30226657
Q6YHK3,238.9508911,30.91954271
Q14517,243.8720231,60.98161798
Q9NZN3,193.5053339,28.38423058
P07585,101.8875556,25.86164933
P78417,119.5415044,42.39207593
P15924,249.3750523,47.5909641
P09960,255.2382652,38.46432438
P54289,178.2206193,40.7577672
H7BY82,105.4960133,34.15620734
H3BMU1,188.4361778,46.57840892
P62140,128.3728566,58.08827726
O75326,137.1167277,56.75855281
Q9BZQ8,142.2230638,66.92132357
P17813,168.3401244,73.89454672
P13693,140.5722371,41.38333333
P05120,167.6519478,80.25435594
O95980,226.3675133,59.57606083
P05109,74.20071852,16.1818554
Q9H444,168.1084769,61.28889836
P01033,129.7375478,15.94296514
P15531,101.9828993,37.25609356
