,ĞŞÊÎÎ»µãÊı
Unigene040259_01.p1,3
Unigene001098_01.p1,3
Unigene023417_01.p1,3
Unigene030392_01.p1,3
Unigene041994_01.p1,3
Unigene007112_02.p1,3
Unigene028140_01.p1,3
Unigene000061_01.p1,3
Unigene005365_01.p1,3
Unigene011660_01.p1,3
Unigene009964_01.p1,3
Unigene049705_01.p1,3
Unigene001737_01.p1,3
Unigene015700_01.p1,3
Unigene050340_01.p1,3
Unigene048039_01.p1,3
Unigene043531_01.p1,3
Unigene048590_01.p1,3
Unigene022199_01.p1,3
Unigene004239_03.p1,3
Unigene023805_01.p1,3
Unigene004082_01.p1,3
Unigene005614_02.p1,3
Unigene040810_01.p1,3
Unigene023645_01.p1,3
Unigene033593_01.p1,3
Unigene010187_01.p1,3
Unigene033829_01.p1,3
Unigene048159_01.p1,3
Unigene028800_01.p1,3
Unigene030420_02.p1,3
Unigene019014_01.p1,3
Unigene032819_01.p1,3
Unigene003826_01.p1,3
Unigene044368_01.p1,3
Unigene005677_02.p1,3
Unigene004385_01.p1,3
Unigene038969_01.p1,3
Unigene012671_01.p1,3
Unigene002892_01.p1,3
Unigene010743_01.p1,3
Unigene049755_01.p1,3
Unigene011331_01.p1,3
Unigene044547_01.p1,3
Unigene011738_01.p1,3
Unigene049749_01.p1,3
Unigene050205_01.p1,3
Unigene049991_01.p1,3
Unigene001755_02.p1,3
Unigene037224_01.p1,3
Unigene033474_01.p1,3
Unigene003312_01.p2,3
Unigene035514_01.p1,3
Unigene016321_01.p1,3
Unigene009015_03.p1,3
Unigene049502_01.p1,3
Unigene039126_01.p1,3
Unigene002731_01.p1,3
Unigene044305_01.p1,3
Unigene000044_01.p1,3
Unigene042966_01.p1,3
Unigene008102_01.p1,3
Unigene002998_01.p1,3
Unigene002185_02.p1,3
Unigene007169_01.p1,3
Unigene049528_01.p1,3
Unigene000304_01.p1,3
Unigene017267_01.p1,3
Unigene041129_02.p1,3
Unigene038848_01.p1,3
Unigene014950_01.p1,3
Unigene005623_03.p1,3
Unigene007613_02.p1,3
Unigene019535_01.p1,3
Unigene019100_01.p1,3
Unigene006250_03.p1,3
Unigene044880_01.p1,3
Unigene005666_01.p1,3
Unigene050367_01.p1,3
Unigene021162_01.p1,3
Unigene004331_01.p1,3
Unigene013654_01.p1,3
Unigene041769_01.p1,3
Unigene005419_02.p1,3
Unigene010102_03.p1,3
Unigene044569_01.p1,3
Unigene007613_03.p1,3
Unigene008116_01.p1,3
Unigene037604_01.p1,3
Unigene043898_01.p1,3
Unigene011298_01.p1,3
Unigene001909_01.p2,3
Unigene011874_01.p1,3
Unigene025448_01.p1,3
Unigene046179_01.p1,3
Unigene043720_02.p1,3
Unigene000241_02.p1,3
Unigene007571_02.p1,3
Unigene005694_04.p1,3
Unigene048479_01.p1,3
Unigene000254_02.p1,3
Unigene042814_01.p1,3
Unigene020989_01.p1,3
Unigene048283_01.p1,3
Unigene037824_01.p1,3
Unigene000147_01.p1,3
Unigene039048_01.p1,3
Unigene031715_01.p1,3
Unigene020624_01.p1,3
Unigene008177_01.p1,3
Unigene033869_01.p1,3
Unigene015631_02.p1,3
Unigene000089_02.p1,3
Unigene043774_01.p1,3
Unigene007423_01.p1,3
Unigene004794_01.p1,3
Unigene045186_01.p1,3
Unigene012102_01.p1,3
Unigene008138_02.p1,3
Unigene042932_01.p1,3
Unigene002543_01.p1,3
Unigene001899_01.p1,3
Unigene009707_01.p1,3
Unigene028791_01.p1,3
Unigene034924_02.p1,3
Unigene043017_01.p1,3
Unigene006875_02.p1,3
Unigene001066_01.p1,3
Unigene048925_01.p1,3
Unigene040148_01.p1,3
Unigene029332_01.p1,3
